,regionCode
192,63
719,62
3060,62
1326,62
3568,62
3547,62
16,62
1248,62
1264,62
1950,62
1343,62
254,62
2725,62
1009,62
4164,62
708,62
1492,62
1365,61
1070,61
3611,61
2020,61
1506,61
2707,61
2793,61
666,61
1460,61
1507,61
1895,61
2379,61
370,61
1429,61
2509,61
2060,61
3400,61
1980,61
1880,61
465,61
2196,60
2387,60
347,60
23,60
1349,60
2471,60
734,60
3972,60
891,60
1159,60
270,60
3452,60
614,60
138,60
1599,60
610,60
2097,60
860,60
677,60
425,59
1180,59
111,59
2235,59
1801,59
2330,59
49,59
1749,59
3027,59
2163,59
145,59
38,59
1005,59
255,59
636,59
1148,59
1518,59
483,59
3977,59
1270,59
641,59
2603,59
3062,58
1014,58
2005,58
1943,58
114,58
1505,58
2573,58
914,58
1771,58
3057,58
1603,58
880,58
2834,58
605,58
799,58
1878,58
658,58
32,58
1886,58
1425,58
437,57
1041,57
2477,57
1400,57
310,57
1774,57
1391,57
2035,57
3167,57
3855,57
26,57
644,57
3929,57
281,57
1828,57
4446,57
2720,57
1369,57
2024,57
1768,57
539,57
878,57
2122,57
174,57
3149,57
2287,57
1708,57
2563,57
1120,56
2724,56
556,56
1876,56
695,56
2633,56
770,56
3399,56
2088,56
2470,56
656,56
1736,56
2546,56
2078,56
2106,56
709,56
1060,56
904,56
278,56
1740,56
627,56
739,56
423,55
4192,55
1108,55
2982,55
2372,55
251,55
1205,55
1897,55
1763,55
1797,55
964,55
1399,55
1777,55
1089,55
1945,55
2801,55
411,55
1464,55
2108,55
58,55
1572,55
126,55
1960,55
3330,55
2049,54
3970,54
663,54
2512,54
631,54
1508,54
2829,54
2224,54
1356,54
1658,54
694,54
2280,54
1015,54
1437,54
3002,54
2038,54
1992,54
517,54
3826,54
601,54
3197,54
1092,54
668,54
1304,54
1942,54
4170,54
4617,54
968,54
750,54
2854,54
339,54
140,53
1898,53
1504,53
1501,53
3295,53
3548,53
78,53
1726,53
2916,53
409,53
5291,53
2099,53
3113,53
4431,53
292,53
577,53
1961,53
1472,53
2369,53
1831,53
1525,53
1171,53
997,53
2847,53
3848,53
2876,53
806,53
3475,53
573,52
109,52
1580,52
1230,52
4255,52
487,52
667,52
4664,52
327,52
1154,52
358,52
1527,52
1266,52
1493,52
3213,52
3655,52
2680,52
1152,52
1200,52
3719,52
3256,52
1776,52
1098,52
316,52
1861,52
3226,52
586,52
3270,52
1404,52
329,52
1340,52
603,52
582,52
638,51
128,51
1839,51
1652,51
699,51
2658,51
3434,51
1944,51
932,51
1212,51
832,51
545,51
2653,51
2788,51
1551,51
106,51
2340,51
196,51
3527,51
369,51
2352,51
1929,51
414,51
4600,51
17,51
725,51
2317,51
3759,51
1606,50
2102,50
443,50
1299,50
2728,50
1787,50
1937,50
236,50
1281,50
2786,50
1624,50
133,50
303,50
3329,50
1968,50
92,50
1546,50
1793,50
921,50
2740,50
1641,50
1479,50
635,50
1784,50
864,50
2989,50
561,50
1684,50
1902,49
199,49
4247,49
2138,49
3469,49
2613,49
1482,49
2833,49
738,49
4222,49
1659,49
1750,49
933,49
1224,49
936,49
1105,49
1987,49
144,49
1093,49
3242,49
2984,49
113,49
455,49
91,49
2065,49
1303,49
852,48
2947,48
163,48
189,48
1285,48
930,48
1127,48
1813,48
3276,48
1852,48
1450,48
2187,48
2077,48
1402,48
2333,48
1244,48
1415,48
1958,48
284,48
765,48
3871,48
633,48
193,48
1297,48
1775,48
2469,48
2679,48
4319,48
604,48
960,47
1792,47
5385,47
2796,47
1139,47
332,47
3704,47
3866,47
2602,47
3724,47
1979,47
991,47
1576,47
3368,47
2193,47
2664,47
855,47
1581,47
2140,47
2472,47
3923,47
18,47
883,47
2044,47
453,47
197,47
219,47
2272,47
2545,47
304,47
408,47
1759,47
1211,47
340,47
3266,47
1421,47
3080,47
680,46
2726,46
1533,46
266,46
650,46
616,46
554,46
2404,46
3958,46
244,46
1764,46
2285,46
1319,46
702,46
1984,46
52,46
2146,46
250,46
645,46
710,46
1298,46
410,46
929,46
1789,46
662,46
786,46
2826,46
3181,46
4264,46
489,46
1104,46
3528,46
2860,46
521,46
3861,46
1416,46
2064,46
235,46
3541,46
2291,46
4178,46
484,46
480,46
2626,46
1226,46
2594,46
320,45
3140,45
1223,45
429,45
3367,45
10,45
318,45
1080,45
1595,45
2238,45
2502,45
569,45
1434,45
118,45
183,45
2299,45
1575,45
3096,45
559,45
1373,45
4459,45
3697,45
346,45
965,45
2153,45
1873,45
62,45
137,45
208,45
1038,45
3428,45
2656,45
741,45
481,45
1455,45
368,45
3348,45
77,45
1442,45
1153,45
1129,45
833,44
2531,44
3489,44
3451,44
1252,44
3850,44
872,44
787,44
1131,44
308,44
3413,44
3168,44
1537,44
3235,44
4466,44
2937,44
4059,44
2715,44
1077,44
2846,44
1150,44
800,44
1687,44
2089,44
944,44
1626,44
3872,44
2759,44
4052,44
3055,44
1352,44
2185,44
4077,44
1786,44
550,44
639,44
5159,44
911,44
898,44
1953,44
1210,44
218,44
2215,44
5662,44
3886,43
4201,43
1704,43
2935,43
257,43
959,43
1141,43
4024,43
679,43
2906,43
2568,43
2207,43
1734,43
2284,43
442,43
1018,43
927,43
778,43
1690,43
3838,43
607,43
2774,43
3122,43
355,43
2461,43
2422,43
665,43
1996,43
2037,43
4606,43
1088,43
3842,43
2523,43
1983,43
148,43
2124,43
1875,43
899,43
976,43
3631,43
2391,43
5220,43
12,43
166,43
4805,43
2397,43
956,43
3955,43
3074,43
1338,43
4198,43
967,43
240,43
3265,43
1412,43
4309,43
2818,43
1806,43
2190,43
1819,43
4960,43
253,43
2625,43
388,43
3948,43
1389,42
1030,42
2965,42
853,42
5112,42
2484,42
448,42
403,42
565,42
345,42
1283,42
3825,42
282,42
707,42
1903,42
2417,42
2821,42
4474,42
1361,42
772,42
1639,42
2165,42
4398,42
3649,42
941,42
3155,42
4545,42
3638,42
1814,42
2167,42
2816,42
4370,42
94,42
3190,42
1447,42
29,42
788,42
2202,42
127,42
3661,42
950,42
1531,42
515,42
108,42
910,42
1516,42
2407,42
1803,42
1585,42
1312,42
4218,42
902,42
1207,41
1635,41
2927,41
1381,41
2232,41
1780,41
3283,41
3151,41
2722,41
724,41
530,41
4046,41
3904,41
3026,41
2046,41
2981,41
2803,41
720,41
3418,41
1901,41
3272,41
3979,41
398,41
305,41
3708,41
3516,41
2931,41
890,41
820,41
4355,41
3518,41
1850,41
1627,41
1858,41
152,41
2685,41
55,41
767,41
2312,41
3300,41
3351,41
2973,41
1615,41
4025,41
525,41
2812,41
676,41
2747,41
2050,40
2872,40
1021,40
1515,40
2514,40
3012,40
2283,40
543,40
2749,40
4464,40
1362,40
4463,40
2147,40
1625,40
130,40
4503,40
2672,40
146,40
289,40
4200,40
3047,40
2426,40
3341,40
804,40
935,40
2504,40
4829,40
2258,40
1002,40
2342,40
867,40
1825,40
6,40
4694,40
2127,40
1271,40
229,40
3582,40
2012,40
4808,40
2599,40
3840,40
742,40
4434,40
814,40
520,40
1213,40
805,40
2132,40
2169,40
1073,40
5239,40
1598,40
1899,39
2424,39
123,39
2496,39
1126,39
1843,39
2583,39
5266,39
2170,39
3829,39
2748,39
124,39
2949,39
2274,39
793,39
2830,39
755,39
2703,39
2160,39
1466,39
1301,39
1969,39
888,39
3933,39
4186,39
1368,39
3088,39
713,39
1770,39
595,39
1155,39
4019,39
5073,39
4397,39
4386,39
34,39
4844,39
4107,39
2661,39
1553,39
2293,39
1991,39
5819,39
3357,39
865,39
6039,39
3487,39
5,39
274,39
2714,39
3544,39
3832,39
672,39
3281,39
1128,39
3101,39
5045,39
4357,39
4513,38
870,38
5558,38
1967,38
1783,38
2359,38
1357,38
4029,38
75,38
2435,38
3558,38
4237,38
3046,38
389,38
1006,38
3145,38
1470,38
1422,38
3078,38
1189,38
3220,38
2250,38
46,38
4004,38
2242,38
2072,38
3273,38
593,38
4212,38
3646,38
4866,38
1822,38
3873,38
5240,38
3042,38
2213,38
2226,38
45,38
2178,38
1536,38
1385,38
2893,38
434,38
4882,38
1058,38
1846,38
1848,38
2813,38
953,38
1074,37
4062,37
2645,37
4976,37
1887,37
4580,37
3031,37
2248,37
1610,37
3627,37
76,37
2519,37
298,37
2054,37
2182,37
5206,37
2002,37
697,37
862,37
3674,37
5109,37
4261,37
2445,37
2431,37
3747,37
1318,37
1670,37
2362,37
963,37
4548,37
2199,37
3459,37
2883,37
4336,37
1925,37
2651,37
2324,37
5181,37
1268,37
1727,37
1480,37
3076,37
2062,37
3323,37
4244,37
1630,37
4419,37
4543,37
1410,37
568,37
1685,37
2135,37
829,37
5227,37
4954,36
1440,36
4182,36
3360,36
3490,36
1556,36
2869,36
3296,36
2593,36
2073,36
1703,36
1476,36
420,36
2772,36
1179,36
587,36
4528,36
1798,36
4919,36
3199,36
2915,36
4388,36
3757,36
3623,36
1500,36
1712,36
319,36
3225,36
1142,36
3436,36
5442,36
2186,36
30,36
1039,36
2998,36
1956,36
406,36
583,36
4340,36
372,36
2139,36
4916,36
512,36
2143,36
136,36
4007,36
395,36
3565,36
2130,36
2608,36
325,36
2119,36
4491,36
3017,36
2848,36
467,36
1079,35
2057,35
3293,35
2754,35
4723,35
4271,35
856,35
1086,35
1475,35
2263,35
159,35
796,35
776,35
89,35
1866,35
3980,35
2535,35
4770,35
3953,35
22,35
2136,35
2018,35
2549,35
1678,35
5748,35
2507,35
696,35
3045,35
4861,35
3995,35
11,35
3398,35
4775,35
1569,35
3233,35
3244,35
1187,35
1075,35
2032,35
1067,35
3072,35
3392,35
4426,35
4217,35
861,35
1993,35
3388,35
3129,35
378,35
923,35
5187,35
2096,35
3345,35
3335,35
466,35
3038,34
1234,34
2619,34
3749,34
504,34
716,34
4535,34
3307,34
2398,34
4605,34
277,34
3015,34
3574,34
1567,34
3402,34
2466,34
2036,34
1078,34
2345,34
3726,34
1296,34
3083,34
3632,34
3594,34
4016,34
2557,34
2756,34
2870,34
570,34
4161,34
3969,34
1733,34
439,34
2693,34
1612,34
1917,34
1550,34
5731,34
2536,34
28,34
2389,34
3943,34
2313,34
1891,34
447,34
5118,34
5456,34
3298,34
2609,34
4482,34
1705,34
214,34
3218,34
1046,34
1766,34
3212,34
1083,34
4339,34
2978,34
4922,34
501,34
1198,34
1380,34
648,34
2211,34
263,34
5097,34
844,34
1206,34
2051,33
585,33
2517,33
647,33
5485,33
5283,33
3546,33
874,33
3552,33
475,33
37,33
1443,33
3658,33
4065,33
3285,33
5475,33
1561,33
1920,33
894,33
1091,33
1170,33
2439,33
1811,33
1578,33
824,33
5053,33
1242,33
4135,33
4027,33
1845,33
948,33
579,33
5337,33
4086,33
736,33
859,33
390,33
3130,33
834,33
1445,33
2219,33
2091,33
841,33
1534,33
3354,33
3394,33
2738,33
671,33
4558,33
4211,33
4901,33
3521,33
258,33
307,33
612,33
1406,33
3320,33
66,33
1760,33
2318,33
951,33
1413,33
1761,33
1589,33
1976,33
5354,33
2433,33
3108,32
4627,32
3297,32
943,32
4781,32
2590,32
3210,32
3789,32
4034,32
3431,32
175,32
726,32
1220,32
2123,32
1802,32
3259,32
3109,32
2976,32
3067,32
3454,32
2996,32
469,32
3761,32
5306,32
3059,32
1111,32
245,32
3102,32
1719,32
300,32
2131,32
1877,32
1386,32
1742,32
913,32
3325,32
1315,32
1946,32
4713,32
413,32
243,32
3988,32
2879,32
1796,32
946,32
3132,32
4937,32
2264,32
4999,32
3874,32
1052,32
2914,32
1192,32
591,32
3274,32
1609,32
3862,32
3628,32
1916,32
897,32
606,32
2910,32
4512,32
79,32
2814,32
3396,32
217,32
2145,32
1332,32
1328,32
3925,32
2443,32
2014,32
1101,32
326,32
2281,31
141,31
2421,31
1816,31
5550,31
1452,31
2486,31
287,31
384,31
5098,31
4238,31
3938,31
2411,31
2221,31
1096,31
3095,31
803,31
2076,31
2180,31
5559,31
2783,31
3817,31
13,31
1151,31
73,31
2706,31
2595,31
5348,31
382,31
4887,31
1549,31
691,31
2591,31
3931,31
54,31
2476,31
3622,31
4959,31
1985,31
2373,31
4768,31
535,31
324,31
2713,31
2063,31
5125,31
3255,31
2663,31
1320,31
4498,31
2458,31
4453,31
2141,31
2859,31
2630,31
3467,31
210,31
2561,31
1253,31
3089,31
4096,31
444,31
185,31
5911,31
417,31
156,31
1832,31
889,31
3041,31
1196,31
999,31
2229,31
3081,31
2357,31
503,31
1202,31
3183,31
1490,31
4465,31
2628,31
1172,31
1617,31
1132,31
187,31
4456,31
1820,31
21,30
4058,30
2105,30
110,30
68,30
2172,30
907,30
234,30
615,30
2980,30
2705,30
777,30
3695,30
3926,30
3,30
3730,30
4233,30
1107,30
5564,30
2650,30
3603,30
4299,30
2753,30
3857,30
706,30
4753,30
3780,30
2569,30
2777,30
2857,30
1061,30
2026,30
2900,30
2075,30
3494,30
4094,30
412,30
1174,30
2184,30
3610,30
519,30
2304,30
385,30
4935,30
977,30
1932,30
701,30
117,30
2681,30
338,30
2792,30
2079,30
1260,30
4008,30
4767,30
5963,30
3230,30
5780,30
961,30
808,30
4703,30
4079,30
1513,30
5121,30
2350,30
1657,30
1591,30
3461,30
1706,30
2246,30
2666,30
3030,29
4739,29
3999,29
2301,29
367,29
2940,29
3075,29
2670,29
733,29
1072,29
1544,29
1971,29
2286,29
4643,29
1094,29
1372,29
4152,29
2499,29
2773,29
3624,29
915,29
3068,29
2767,29
3811,29
2636,29
204,29
5234,29
1835,29
3417,29
3172,29
5666,29
3784,29
1931,29
1928,29
4516,29
599,29
3085,29
2000,29
1709,29
2800,29
729,29
4635,29
3504,29
4116,29
2358,29
5195,29
673,29
4179,29
4103,29
220,29
2408,29
2303,29
5658,29
3478,29
2403,29
440,29
3465,29
3945,29
6382,29
3912,29
1122,29
2820,29
1331,29
149,29
1914,29
375,29
1788,29
2483,29
2430,29
4566,29
1926,28
1799,28
161,28
139,28
3261,28
1017,28
1117,28
4348,28
5173,28
681,28
1826,28
2158,28
1436,28
661,28
493,28
2694,28
1618,28
2394,28
1514,28
351,28
3572,28
3844,28
3340,28
1972,28
1632,28
3093,28
3169,28
3331,28
2951,28
2577,28
2969,28
1363,28
5177,28
2033,28
4290,28
2021,28
14,28
2223,28
4194,28
5950,28
4951,28
6276,28
5061,28
3433,28
357,28
2420,28
1454,28
2525,28
5056,28
2646,28
3909,28
4854,28
654,28
2156,28
2991,28
3065,28
1280,28
5495,28
2468,28
2822,28
2233,28
4105,28
1160,28
150,28
1653,28
4572,28
2344,28
2265,28
2278,28
3509,28
1029,28
674,28
1376,28
2023,28
3702,28
1936,28
2116,28
3833,27
1587,27
2778,27
1751,27
576,27
5054,27
3522,27
2548,27
1359,27
4154,27
2853,27
4100,27
1557,27
1986,27
1100,27
4657,27
1966,27
3736,27
264,27
3287,27
59,27
4330,27
1815,27
746,27
4769,27
2842,27
2220,27
4045,27
4286,27
1810,27
4451,27
1307,27
1309,27
1327,27
1263,27
544,27
3427,27
3364,27
1273,27
1003,27
758,27
2675,27
215,27
4886,27
416,27
2665,27
1906,27
3254,27
1841,27
3409,27
1674,27
471,27
1246,27
2173,27
2913,27
6212,27
1036,27
42,27
3334,27
4531,27
3069,27
169,27
3804,27
2555,27
2126,27
3742,27
1418,27
2103,27
5088,27
2841,27
3835,27
1274,27
275,27
4207,27
1370,27
1394,27
974,27
1548,27
3302,27
1269,27
1857,27
3269,27
1265,27
3309,27
2733,27
4303,27
686,27
3836,27
1188,26
2133,26
1448,26
3657,26
1977,26
1608,26
4367,26
2,26
574,26
3128,26
4749,26
2337,26
2637,26
2917,26
6185,26
2485,26
1611,26
1084,26
4209,26
3837,26
3000,26
3712,26
2530,26
1145,26
4506,26
3160,26
2134,26
1390,26
822,26
1772,26
3767,26
3245,26
2750,26
502,26
4874,26
2918,26
2527,26
5295,26
5084,26
769,26
2607,26
2649,26
1334,26
4478,26
2346,26
3606,26
3911,26
5225,26
2739,26
2174,26
4576,26
2757,26
1673,26
4441,26
712,26
348,26
5752,26
1417,26
6450,26
524,26
1588,26
516,26
3788,26
2961,26
297,26
1854,26
2331,26
4281,26
321,26
5137,26
4969,26
766,26
4142,26
1255,26
1395,26
527,26
3641,26
4904,26
5398,26
2308,26
3013,26
5609,26
4889,26
1714,26
3877,26
3992,26
3142,26
2586,26
4073,26
526,26
687,26
1403,26
4278,26
200,25
179,25
3815,25
4722,25
1583,25
2657,25
5025,25
1954,25
2498,25
4361,25
2839,25
452,25
2059,25
2168,25
4236,25
1829,25
3973,25
239,25
5623,25
3246,25
2030,25
3369,25
3711,25
970,25
3303,25
3495,25
875,25
4742,25
2888,25
4048,25
1809,25
558,25
1558,25
1405,25
1208,25
1345,25
3094,25
1146,25
1191,25
97,25
405,25
3856,25
5853,25
5282,25
621,25
4527,25
704,25
3699,25
99,25
2239,25
3939,25
4493,25
1755,25
2695,25
675,25
3268,25
4732,25
1019,25
4946,25
2334,25
1236,25
1844,25
2605,25
1860,25
1808,25
1930,25
2766,25
4673,25
333,25
3896,25
5299,25
4977,25
3301,25
399,25
8,25
4646,25
3419,25
4638,25
4097,25
5184,25
354,25
847,25
1538,25
5284,25
4249,25
5610,25
3710,25
2744,25
749,25
3039,25
3937,25
2763,25
2428,25
5377,25
2409,25
2356,25
1919,25
3884,25
849,25
5570,24
495,24
5575,24
349,24
6182,24
3957,24
2011,24
3529,24
5012,24
2997,24
2858,24
1963,24
3605,24
1485,24
2721,24
3727,24
2659,24
3588,24
2311,24
1957,24
1441,24
1522,24
2559,24
2999,24
116,24
835,24
2162,24
2533,24
3781,24
366,24
202,24
1076,24
1710,24
4719,24
1341,24
2924,24
4707,24
2243,24
3097,24
1321,24
3216,24
1756,24
5638,24
6517,24
5339,24
2017,24
4632,24
4087,24
3138,24
737,24
1542,24
5627,24
1396,24
4325,24
288,24
4779,24
3879,24
51,24
1261,24
4225,24
1016,24
4789,24
3191,24
2902,24
342,24
3271,24
619,24
4855,24
2617,24
1375,24
622,24
4060,24
2375,24
4986,24
1071,24
4845,24
1747,24
1865,24
2960,24
3306,24
1503,24
1353,24
2166,24
4202,24
2541,24
4556,24
95,24
1163,24
4932,24
993,24
4648,24
3897,24
4909,23
2125,23
4475,23
4807,23
4499,23
4843,23
2388,23
987,23
5238,23
6250,23
2797,23
4688,23
1411,23
506,23
763,23
5449,23
1511,23
4628,23
3659,23
611,23
747,23
3956,23
609,23
4613,23
4332,23
4307,23
4468,23
1676,23
3474,23
2667,23
426,23
2405,23
2001,23
3178,23
242,23
4399,23
3982,23
1057,23
5237,23
3023,23
373,23
3678,23
6196,23
194,23
5633,23
751,23
2905,23
2298,23
5556,23
5099,23
1140,23
2717,23
4054,23
3125,23
3264,23
2760,23
1378,23
1013,23
4220,23
4108,23
5296,23
3016,23
3339,23
659,23
5416,23
957,23
1110,23
850,23
1037,23
954,23
2799,23
6187,23
4437,23
1620,23
3299,23
3577,23
216,23
4712,23
4246,23
4682,23
4762,23
2343,23
2518,23
5767,23
4011,23
3743,23
4848,23
4422,23
6929,23
4112,23
5005,23
4406,23
1981,23
3940,23
181,23
6384,23
1401,23
4944,23
361,23
404,23
3686,23
35,23
3184,23
1842,23
1397,23
1628,23
268,23
1339,23
1526,23
1941,23
1989,23
2188,23
3813,23
1310,23
3533,23
629,23
2780,23
4755,23
1744,23
4692,22
4971,22
743,22
714,22
5534,22
2463,22
1790,22
2640,22
6845,22
2503,22
2410,22
529,22
5364,22
4974,22
5674,22
3590,22
572,22
1306,22
492,22
3346,22
6120,22
1486,22
4667,22
2506,22
3683,22
3353,22
1461,22
4681,22
1426,22
2419,22
1106,22
1691,22
2743,22
2442,22
3277,22
4407,22
5096,22
1185,22
925,22
1347,22
1333,22
301,22
3222,22
5010,22
2909,22
2612,22
1921,22
6403,22
167,22
1056,22
2963,22
4180,22
4313,22
2353,22
5463,22
3530,22
2467,22
4165,22
4390,22
331,22
1313,22
4771,22
6351,22
3754,22
5103,22
4757,22
903,22
782,22
2701,22
3124,22
3020,22
1474,22
2526,22
3143,22
1765,22
1633,22
402,22
2925,22
3922,22
1498,22
1371,22
533,22
135,22
2934,22
4967,22
3207,22
1847,22
3932,22
4000,22
5535,22
3662,22
4985,22
1600,22
1888,22
581,22
1114,22
1836,22
4276,22
3714,21
5840,21
5278,21
2574,21
2867,21
4213,21
4268,21
1564,21
3526,21
2643,21
2730,21
2494,21
2560,21
3707,21
3898,21
4982,21
4455,21
6512,21
2228,21
5651,21
1250,21
1087,21
2361,21
155,21
2562,21
2305,21
3536,21
2941,21
5625,21
1228,21
6409,21
945,21
1629,21
2201,21
2095,21
995,21
1203,21
3358,21
3643,21
868,21
2953,21
2582,21
1190,21
836,21
2516,21
664,21
2100,21
3785,21
588,21
1560,21
5480,21
1177,21
4421,21
87,21
1382,21
1217,21
1095,21
6463,21
4596,21
4540,21
1855,21
2956,21
5267,21
3425,21
3408,21
4514,21
678,21
5367,21
5641,21
3280,21
3313,21
6357,21
1431,21
6866,21
721,21
3480,21
6044,21
3978,21
1881,21
1840,21
4911,21
1812,21
105,21
514,21
4730,21
3586,21
4966,21
3243,21
1940,21
5081,21
1974,21
3880,21
4817,21
6820,21
121,21
262,21
6762,20
513,20
191,20
3238,20
1499,20
1028,20
534,20
4764,20
760,20
4500,20
1254,20
3426,20
3595,20
5839,20
3687,20
3134,20
3382,20
3672,20
39,20
296,20
3200,20
2884,20
3029,20
4041,20
3393,20
2460,20
2683,20
3918,20
1113,20
2450,20
3597,20
2875,20
2904,20
6732,20
5757,20
3798,20
4349,20
2542,20
5441,20
5105,20
4574,20
4133,20
4793,20
2490,20
1050,20
1698,20
4668,20
4101,20
2314,20
4254,20
5509,20
2489,20
2354,20
4956,20
4266,20
4418,20
4363,20
1911,20
83,20
1166,20
142,20
3420,20
6068,20
4947,20
392,20
2109,20
5774,20
4970,20
2534,20
4731,20
5470,20
3600,20
3342,20
2554,20
3580,20
1592,20
1962,20
3993,20
3758,20
4839,20
3822,20
4571,20
1407,20
212,20
2789,20
473,20
5134,20
5089,20
3507,20
2849,20
205,20
3652,20
3868,20
3543,20
4291,20
4396,20
3962,20
1138,20
3187,20
5484,20
5208,20
717,20
5942,20
3366,20
842,20
3491,20
2368,20
2161,20
928,20
3050,20
5546,20
3612,20
3444,20
4032,20
2510,20
2016,19
2585,19
3891,19
5086,19
5314,19
6239,19
1024,19
1054,19
4374,19
3288,19
625,19
2921,19
4181,19
470,19
789,19
3441,19
3053,19
178,19
780,19
458,19
3064,19
975,19
6368,19
972,19
4187,19
427,19
5059,19
1682,19
2297,19
1563,19
3352,19
1859,19
1495,19
4322,19
6113,19
364,19
4412,19
5782,19
3581,19
4838,19
3843,19
1329,19
4013,19
4734,19
2938,19
1955,19
5060,19
3564,19
5419,19
1420,19
812,19
474,19
2090,19
934,19
4727,19
5847,19
4584,19
5312,19
4469,19
3532,19
3602,19
3502,19
4043,19
3671,19
4592,19
982,19
893,19
2321,19
6530,19
3901,19
20,19
3515,19
6980,19
2183,19
1229,19
6908,19
3875,19
6939,19
160,19
5585,19
2225,19
4132,19
3914,19
2819,19
4174,19
3161,19
4577,19
84,19
2584,19
3437,19
2556,19
3087,19
5009,19
431,19
4763,19
3512,19
5341,19
2081,19
2540,19
4806,19
3705,19
2970,19
962,19
1800,19
3635,19
6060,19
2179,19
1428,19
2039,19
6639,19
5404,19
3365,19
3746,19
40,19
1360,19
3373,19
5516,19
2307,19
797,19
1994,18
3681,18
3976,18
3905,18
497,18
5850,18
4846,18
5951,18
3290,18
4505,18
2259,18
884,18
3141,18
794,18
4532,18
3882,18
3907,18
344,18
781,18
4148,18
1884,18
4820,18
2522,18
3739,18
2256,18
3310,18
4110,18
2478,18
2966,18
6017,18
578,18
3412,18
4156,18
5269,18
1173,18
4604,18
1523,18
3383,18
2260,18
3278,18
5014,18
2216,18
5402,18
1837,18
908,18
1566,18
3326,18
3414,18
5502,18
2712,18
2729,18
393,18
3783,18
2784,18
6074,18
2296,18
4017,18
3185,18
643,18
4177,18
5517,18
3429,18
5804,18
4166,18
4736,18
165,18
2836,18
1554,18
4044,18
3809,18
6259,18
3772,18
4010,18
2861,18
1849,18
461,18
2475,18
3679,18
2610,18
528,18
4867,18
7281,18
5604,18
1737,18
2114,18
1791,18
1702,18
1680,18
3251,18
5644,18
6058,18
7279,18
5454,18
3604,18
3439,18
2742,18
5919,18
5435,18
642,18
454,18
5547,18
4873,18
1053,18
3312,18
5399,18
1167,18
6291,18
939,18
996,18
4329,18
2452,18
4378,18
1082,18
981,17
598,17
4320,17
2877,17
1720,17
